Card Number,Player Name,Set Name,Set Year,
27,Tony Cloninger,Bazooka,1966,
28,Curt Blefary,Bazooka,1966,
29,Milt Pappas,Bazooka,1966,
30,Hank Aaron,Bazooka,1966,
31,Jim Bunning,Bazooka,1966,
32,Frank Robinson,Bazooka,1966,
33,Bill Skowron,Bazooka,1966,
34,Brooks Robinson,Bazooka,1966,
35,Jimmy Wynn,Bazooka,1966,
36,Joe Torre,Bazooka,1966,
37,Mudcat Grant,Bazooka,1966,
38,Pete Rose,Bazooka,1966,
39,Ron Santo,Bazooka,1966,
40,Tom Tresh,Bazooka,1966,
41,Tony Oliva,Bazooka,1966,
42,Don Drysdale,Bazooka,1966,
43,Pete Richert,Bazooka,1966,
44,Bert Campaneris,Bazooka,1966,
45,Jim Maloney,Bazooka,1966,
46,Al Kaline,Bazooka,1966,
47,Eddie Fisher,Bazooka,1966,
48,Billy Williams,Bazooka,1966,
1,Rick Reichardt,Bazooka,1967,
2,Tommie Agee,Bazooka,1967,
3,Frank Howard,Bazooka,1967,
4,Dick Allen,Bazooka,1967,
5,Mel Stottlemyre,Bazooka,1967,
6,Tony Conigliaro,Bazooka,1967,
7,Mickey Mantle,Bazooka,1967,
8,Leon Wagner,Bazooka,1967,
9,Gary Peters,Bazooka,1967,
10,Juan Marichal,Bazooka,1967,
11,Harmon Killebrew,Bazooka,1967,
12,Johnny Callison,Bazooka,1967,
13,Denny McLain,Bazooka,1967,
14,Willie McCovey,Bazooka,1967,
15,Rocky Colavito,Bazooka,1967,
16,Willie Mays,Bazooka,1967,
17,Sam McDowell,Bazooka,1967,
18,Jim Kaat,Bazooka,1967,
19,Jim Fregosi,Bazooka,1967,
20,Ron Fairly,Bazooka,1967,
21,Bob Gibson,Bazooka,1967,
22,Carl Yastrzemski,Bazooka,1967,
23,Bill White,Bazooka,1967,
24,Bob Aspromonte,Bazooka,1967,
25,Dean Chance,Bazooka,1967,
26,Roberto Clemente,Bazooka,1967,
27,Tony Cloninger,Bazooka,1967,
28,Curt Blefary,Bazooka,1967,
29,Phil Regan,Bazooka,1967,
30,Hank Aaron,Bazooka,1967,
31,Jim Bunning,Bazooka,1967,
32,Frank Robinson,Bazooka,1967,
33,Ken Boyer,Bazooka,1967,
34,Brooks Robinson,Bazooka,1967,
35,Jimmy Wynn,Bazooka,1967,
36,Joe Torre,Bazooka,1967,
37,Tommy Davis,Bazooka,1967,
38,Pete Rose,Bazooka,1967,
39,Ron Santo,Bazooka,1967,
40,Tom Tresh,Bazooka,1967,
41,Tony Oliva,Bazooka,1967,
42,Don Drysdale,Bazooka,1967,
43,Pete Richert,Bazooka,1967,
44,Bert Campaneris,Bazooka,1967,
45,Jim Maloney,Bazooka,1967,
46,Al Kaline,Bazooka,1967,
47,Matty Alou,Bazooka,1967,
48,Billy Williams,Bazooka,1967,
NULL,Hank Aaron,Bazooka,1968,
NULL,Tommie Agee,Bazooka,1968,
NULL,Tommie Agee,Bazooka,1968,
NULL,Richie Allen,Bazooka,1968,
NULL,Matty Alou,Bazooka,1968,
NULL,Max Alvis,Bazooka,1968,
NULL,Joe Azcue,Bazooka,1968,
NULL,Clete Boyer,Bazooka,1968,
NULL,Jim Bunning,Bazooka,1968,
NULL,Rod Carew,Bazooka,1968,
NULL,Paul Casanova,Bazooka,1968,
NULL,Dean Chance,Bazooka,1968,
NULL,Roberto Clemente,Bazooka,1968,
NULL,Tony Conigliaro,Bazooka,1968,
NULL,Tommy Davis,Bazooka,1968,
1,Tim McCarver,Bazooka,1971,
2,Frank Robinson,Bazooka,1971,
3,Bill Mazeroski,Bazooka,1971,
4,Willie McCovey,Bazooka,1971,
5,Carl Yastrzemski,Bazooka,1971,
6,Clyde Wright,Bazooka,1971,
7,Jim Merritt,Bazooka,1971,
8,Luis Aparicio,Bazooka,1971,
9,Bobby Murcer,Bazooka,1971,
10,Rico Petrocelli,Bazooka,1971,
11,Sam McDowell,Bazooka,1971,
12,Cito Gaston,Bazooka,1971,
13,Fergie Jenkins,Bazooka,1971,
14,Al Kaline,Bazooka,1971,
15,Ken Harrelson,Bazooka,1971,
16,Tommie Agee,Bazooka,1971,
17,Harmon Killebrew,Bazooka,1971,
18,Reggie Jackson,Bazooka,1971,
19,Juan Marichal,Bazooka,1971,
20,Frank Howard,Bazooka,1971,
21,Bill Melton,Bazooka,1971,
22,Brooks Robinson,Bazooka,1971,
23,Hank Aaron,Bazooka,1971,
24,Larry Dierker,Bazooka,1971,
25,Jim Fregosi,Bazooka,1971,
26,Billy Williams,Bazooka,1971,
27,Dave McNally,Bazooka,1971,
28,Rico Carty,Bazooka,1971,
29,Johnny Bench,Bazooka,1971,
30,Tommy Harper,Bazooka,1971,
31,Bert Campaneris,Bazooka,1971,
32,Pete Rose,Bazooka,1971,
33,Orlando Cepeda,Bazooka,1971,
34,Maury Wills,Bazooka,1971,
35,Tom Seaver,Bazooka,1971,
36,Tony Oliva,Bazooka,1971,
37,Bill Freehan,Bazooka,1971,
38,Roberto Clemente,Bazooka,1971,
39,Claude Osteen,Bazooka,1971,
40,Rusty Staub,Bazooka,1971,
41,Bob Gibson,Bazooka,1971,
42,Amos Otis,Bazooka,1971,
43,Jimmy Wynn,Bazooka,1971,
44,Dick Allen,Bazooka,1971,
45,Tony Conigliaro,Bazooka,1971,
46,Randy Hundley,Bazooka,1971,
47,Willie Mays,Bazooka,1971,
48,Jim Hunter,Bazooka,1971,
1,George Bell,Bazooka,1988,
2,Wade Boggs,Bazooka,1988,
3,Jose Canseco,Bazooka,1988,
4,Roger Clemens,Bazooka,1988,
5,Vince Coleman,Bazooka,1988,
6,Eric Davis,Bazooka,1988,
7,Tony Fernandez,Bazooka,1988,
8,Dwight Gooden,Bazooka,1988,
9,Tony Gwynn,Bazooka,1988,
10,Wally Joyner,Bazooka,1988,
11,Don Mattingly,Bazooka,1988,
12,Willie McGee,Bazooka,1988,
13,Mark McGwire,Bazooka,1988,
14,Kirby Puckett,Bazooka,1988,
15,Tim Raines,Bazooka,1988,
16,Dave Righetti,Bazooka,1988,
17,"Cal Ripken, Jr.",Bazooka,1988,
18,Juan Samuel,Bazooka,1988,
19,Ryne Sandberg,Bazooka,1988,
20,Benito Santiago,Bazooka,1988,
21,Darryl Strawberry,Bazooka,1988,
22,Todd Worrell,Bazooka,1988,
1,Tim Belcher,Bazooka,1989,
2,Damon Berryhill,Bazooka,1989,
3,Wade Boggs,Bazooka,1989,
4,Jay Buhner,Bazooka,1989,
5,Jose Canseco,Bazooka,1989,
6,Vince Coleman,Bazooka,1989,
7,Cecil Espy,Bazooka,1989,
8,Dave Gallagher,Bazooka,1989,
9,Ron Gant,Bazooka,1989,
10,Kirk Gibson,Bazooka,1989,
11,Paul Gibson,Bazooka,1989,
12,Mark Grace,Bazooka,1989,
13,Tony Gwynn,Bazooka,1989,
14,Rickey Henderson,Bazooka,1989,
15,Orel Hershiser,Bazooka,1989,
16,Gregg Jefferies,Bazooka,1989,
17,Ricky Jordan,Bazooka,1989,
18,Chris Sabo,Bazooka,1989,
19,Gary Sheffield,Bazooka,1989,
20,Darryl Strawberry,Bazooka,1989,
21,Frank Viola,Bazooka,1989,
22,Walt Weiss,Bazooka,1989,
1,Kevin Mitchell,Bazooka,1990,
2,Robin Yount,Bazooka,1990,
3,Mark Davis,Bazooka,1990,
4,Bret Saberhagen,Bazooka,1990,
5,Fred McGriff,Bazooka,1990,
6,Tony Gwynn,Bazooka,1990,
7,Kirby Puckett,Bazooka,1990,
8,Vince Coleman,Bazooka,1990,
9,Rickey Henderson,Bazooka,1990,
10,Ben McDonald,Bazooka,1990,
11,Gregg Olson,Bazooka,1990,
12,Todd Zeile,Bazooka,1990,
13,Carmelo Martinez,Bazooka,1990,
14,Gregg Jefferies,Bazooka,1990,
15,Craig Worthington,Bazooka,1990,
16,Gary Sheffield,Bazooka,1990,
17,Greg Briley,Bazooka,1990,
18,"Ken Griffey, Jr.",Bazooka,1990,
19,Jerome Walton,Bazooka,1990,
20,Bob Geren,Bazooka,1990,
21,Tom Gordon,Bazooka,1990,
22,Jim Abbott,Bazooka,1990,
1,Barry Bonds,Bazooka,1991,
2,Rickey Henderson,Bazooka,1991,
3,Bob Welch,Bazooka,1991,
4,Doug Drabek,Bazooka,1991,
5,Alex Fernandez,Bazooka,1991,
6,Jose Offerman,Bazooka,1991,
7,Frank Thomas,Bazooka,1991,
8,Cecil Fielder,Bazooka,1991,
9,Ryne Sandberg,Bazooka,1991,
10,George Brett,Bazooka,1991,
11,Willie McGee,Bazooka,1991,
12,Vince Coleman,Bazooka,1991,
13,Hal Morris,Bazooka,1991,
14,Delino DeShields,Bazooka,1991,
15,Robin Ventura,Bazooka,1991,
16,Jeff Huson,Bazooka,1991,
17,Felix Jose,Bazooka,1991,
18,David Justice,Bazooka,1991,
19,Larry Walker,Bazooka,1991,
20,"Sandy Alomar, Jr.",Bazooka,1991,
21,Kevin Appier,Bazooka,1991,
22,Scott Radinsky,Bazooka,1991,
